Nome;Preço;Capacidade_GB;Clock;Ddr
Memória RAM Husky Impulse, 8GB, 3200MHz, DDR4, CL22, Preto - HRM001083222PT;858.81;8;3200;4
Memória RAM Husky Impulse, 16GB, 3200MHz, DDR4, CL22, Preto - HRM001163222PT;1176.46;16;3200;4
Memoria RAM Kingston Fury  Beast, 8GB, 3200MT/s, DDR4, CL16, DIMM, Preto - KF432C16BB/8WP;988.22;8;3200;4
Memória RAM Kingston Fury Beast, 16GB, 5600MHz, DDR5, CL40, para Intel XMP, Preto - KF556C40BB-16;1988.22;16;5600;5
Memória RAM XPG Gammix D35, 8GB, 3200MHz, DDR4, CL16, Preto - AX4U32008G16A-SBKD35;823.52;8;3200;4
Memória RAM XPG Lancer Blade, 16GB, RGB, DDR5, 6000MHz, Single Tray, CL48, Preto  - AX5U6000C4816G-SLABRBK;2648.22;16;6000;5
Memória RAM XPG Spectrix D35G, RGB, 16GB, 3200MHz, DDR4, CL16, Branco - AX4U320016G16A-SWHD35G;1647.05;16;3200;4
Memória RAM XPG Spectrix D50 RGB, 8GB, 3200MHz, DDR4, CL16, Cinza - AX4U32008G16A-ST50;847.05;8;3200;4
Memória RAM para Notebook Rise Mode, 4GB, 1600MHz, DDR3, CL11 - RM-D3-4G1600N;54.11;4;1600;3
Memória RAM Kingston Fury Beast, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/8;705.87;8;3200;4
Memória RAM Kingston Fury Beast Expo, 32GB (2X16GB), 6000MT/s, DDR5, DIMM, CL30, Preto - KF560C30BBEK2-32;3529.4;32;6000;5
Memória RAM Kingston Fury Beast, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB1/16;1270.58;16;3200;4
Memória Rise Mode, 8GB, 1600MHz, DDR3, Para Notebook - RM-D3-8G1600NL;146.9;8;1600;3
Memória RAM XPG Lancer, RGB, 32GB (2x16GB), 6000MHz, DDR5, CL30, Preto - AX5U6000C3016G-DCLARBK;6995.28;32;6000;5
Memória RAM XPG Gammix D35, 16GB, 3200MHz, DDR4, CL16, Preto - AX4U320016G16A-SBKD35;1176.46;16;3200;4
Memória XPG Spectrix D41, 8GB, 3200MHz, DDR4, RGB, CL 16, Cinza - AX4U32008G16A-ST41;645.87;8;3200;4
Memória Ddr3 8GB 1600mhz Para Computador - Alto Desempenho Compatibilidade Universal;177.27;8;1600;3
Memória RAM Para Notebook Kingston Fury Impact, 8GB, 3200MHz, DDR4, CL20 - KF432S20IB/8;705.87;8;3200;4
Memória RAM Rise Mode Z, 8GB, 3200MHz, DDR4, CL19, Preto - RM-D4-8G-3200Z;588.22;8;3200;4
Memória RAM Kingston Fury Beast Expo, 32GB, 6000MT/s, DDR5, DIMM, CL30, Preto - KF560C30BBE-32;3599.99;32;6000;5
